Kombinations-ID,Headline_V1,Headline_V2,Bild_Prompt_Final,Status
SET-001,🔥 [KI-Emotional] Sichere dir 0€ Anschaffungskosten für deine Solaranlage.,✅ [KI-Benefit] Sichere dir 0€ Anschaffungskosten für deine Solaranlage.,"Optimierter High-End Prompt für: Modernes Einfamilienhaus mit glänzenden Solarpanels auf dem Dach. (Cinematic, 8k)",Ready for Review
SET-002,🔥 [KI-Emotional] Sichere dir 0€ Anschaffungskosten für deine Solaranlage.,✅ [KI-Benefit] Sichere dir 0€ Anschaffungskosten für deine Solaranlage.,"Optimierter High-End Prompt für: Ein seriöser Finanzberater zeigt einem jungen Paar ein Tablet. (Cinematic, 8k)",Ready for Review
SET-003,🔥 [KI-Emotional] Sichere dir 0€ Anschaffungskosten für deine Solaranlage.,✅ [KI-Benefit] Sichere dir 0€ Anschaffungskosten für deine Solaranlage.,"Optimierter High-End Prompt für: Nahaufnahme eines Stromzählers, der rückwärts läuft. (Cinematic, 8k)",Ready for Review
SET-004,🔥 [KI-Emotional] Warum deine Rentenversicherung dich Geld kostet.,✅ [KI-Benefit] Warum deine Rentenversicherung dich Geld kostet.,"Optimierter High-End Prompt für: Modernes Einfamilienhaus mit glänzenden Solarpanels auf dem Dach. (Cinematic, 8k)",Ready for Review
SET-005,🔥 [KI-Emotional] Warum deine Rentenversicherung dich Geld kostet.,✅ [KI-Benefit] Warum deine Rentenversicherung dich Geld kostet.,"Optimierter High-End Prompt für: Ein seriöser Finanzberater zeigt einem jungen Paar ein Tablet. (Cinematic, 8k)",Ready for Review
SET-006,🔥 [KI-Emotional] Warum deine Rentenversicherung dich Geld kostet.,✅ [KI-Benefit] Warum deine Rentenversicherung dich Geld kostet.,"Optimierter High-End Prompt für: Nahaufnahme eines Stromzählers, der rückwärts läuft. (Cinematic, 8k)",Ready for Review
SET-007,🔥 [KI-Emotional] Solarstrom auch bei Bewölkung? So geht's.,✅ [KI-Benefit] Solarstrom auch bei Bewölkung? So geht's.,"Optimierter High-End Prompt für: Modernes Einfamilienhaus mit glänzenden Solarpanels auf dem Dach. (Cinematic, 8k)",Ready for Review
SET-008,🔥 [KI-Emotional] Solarstrom auch bei Bewölkung? So geht's.,✅ [KI-Benefit] Solarstrom auch bei Bewölkung? So geht's.,"Optimierter High-End Prompt für: Ein seriöser Finanzberater zeigt einem jungen Paar ein Tablet. (Cinematic, 8k)",Ready for Review
SET-009,🔥 [KI-Emotional] Solarstrom auch bei Bewölkung? So geht's.,✅ [KI-Benefit] Solarstrom auch bei Bewölkung? So geht's.,"Optimierter High-End Prompt für: Nahaufnahme eines Stromzählers, der rückwärts läuft. (Cinematic, 8k)",Ready for Review
SET-010,🔥 [KI-Emotional] Vermögensaufbau für den Mittelstand: Strategien 2026.,✅ [KI-Benefit] Vermögensaufbau für den Mittelstand: Strategien 2026.,"Optimierter High-End Prompt für: Modernes Einfamilienhaus mit glänzenden Solarpanels auf dem Dach. (Cinematic, 8k)",Ready for Review
SET-011,🔥 [KI-Emotional] Vermögensaufbau für den Mittelstand: Strategien 2026.,✅ [KI-Benefit] Vermögensaufbau für den Mittelstand: Strategien 2026.,"Optimierter High-End Prompt für: Ein seriöser Finanzberater zeigt einem jungen Paar ein Tablet. (Cinematic, 8k)",Ready for Review
SET-012,🔥 [KI-Emotional] Vermögensaufbau für den Mittelstand: Strategien 2026.,✅ [KI-Benefit] Vermögensaufbau für den Mittelstand: Strategien 2026.,"Optimierter High-End Prompt für: Nahaufnahme eines Stromzählers, der rückwärts läuft. (Cinematic, 8k)",Ready for Review
SET-013,🔥 [KI-Emotional] E-Auto kostenlos laden mit eigener PV-Anlage.,✅ [KI-Benefit] E-Auto kostenlos laden mit eigener PV-Anlage.,"Optimierter High-End Prompt für: Modernes Einfamilienhaus mit glänzenden Solarpanels auf dem Dach. (Cinematic, 8k)",Ready for Review
SET-014,🔥 [KI-Emotional] E-Auto kostenlos laden mit eigener PV-Anlage.,✅ [KI-Benefit] E-Auto kostenlos laden mit eigener PV-Anlage.,"Optimierter High-End Prompt für: Ein seriöser Finanzberater zeigt einem jungen Paar ein Tablet. (Cinematic, 8k)",Ready for Review
SET-015,🔥 [KI-Emotional] E-Auto kostenlos laden mit eigener PV-Anlage.,✅ [KI-Benefit] E-Auto kostenlos laden mit eigener PV-Anlage.,"Optimierter High-End Prompt für: Nahaufnahme eines Stromzählers, der rückwärts läuft. (Cinematic, 8k)",Ready for Review
